purpose	a commitment to openness, wide reaching engagement and access for everyone
purpose	a world where no one is blind from avoidable causes, and where vision impaired people participate equally in society
purpose	administer gifts and grants in keeping with the health research
purpose	and to be known for inspiring my students to be more than they thought they could be
purpose	become the worlds number one destination for fashion-loving 20somethings
purpose	bright pink helps to save lives from breast and ovarian cancer by empowering women to know their risk and manage their health proactively
purpose	bring inspiration and innovation to every athlete in the world
purpose	bringing clean and safe drinking water to people in developing countries
purpose	bringing clean, safe drinking water to people in developing countries
purpose	build the best product, cause no unnecessary harm, use business to inspire, and implement solutions to the environmental crisis
purpose	build, manage, and grow your events with ease
purpose	by doing this, i can help other people become the best possible version of themselves
purpose	by seamlessly connecting riders to drivers through our apps, we make cities more accessible, opening up more possibilities for riders and more business for drivers
purpose	celebrating diverse cultures and welcoming new and broader constituencies; and creating educational opportunities for a wide range of visitors
purpose	changing the way we work, live, play, and learn
purpose	committed to offering a challenging education that develops qualities of mind, spirit and body necessary for a rewarding life of leadership and service in a diverse and changing world
purpose	compassionate service healthcare with special concern for the poor & vulnerable
purpose	create a healing environment where passionate people thrive and excel, and lead collaborative efforts that solve our communities health care challenges
purpose	create and promote great tasting, healthy, organic beverages
purpose	create compelling media that inspires and encourages our listeners to have a meaningful relationship with god
purpose	create groundbreaking sports innovations, make our products sustainably, build a creative and diverse global team, and make a positive impact in communities where we live and work
purpose	create more smiles with every sip and every bite
purpose	dedicate resources to delivering compassionate, high-quality, affordable health services
purpose	dedicated to being the foremost museum of modern art in the world
purpose	dedicated to the conservation of pheasants, quail and other wildlife through habitat improvements, public awareness, education and land management policies and programs
purpose	dedicated to the creation and application of knowledge
purpose	dedicated to the delivery of cancer care services, the treatment and care of cancer patients and the prevention of cancer
purpose	dedicated to the protection of all native wild animals and plants in their natural communities
purpose	deep cleaning the house, while essential, can be overwhelming, and its hard to know where to start
purpose	deliver excellent products, value and care to our customers
purpose	develops, supports, and stewards legal and technical infrastructure that maximizes digital creativity, sharing, and innovation
purpose	devoted to academic excellence, distinguished by the creative interplay of teaching, learning, and scholarship, and dedicated to our diverse residential community and extensive international engagements
purpose	discover and translate new knowledge in the biomedical sciences; to provide cutting edge, interdisciplinary and compassionate clinical care of the highest quality; and to improve the health of the communities it serves
purpose	discover, interpret, and disseminate through scientific research and education knowledge about human cultures, the natural world, and the universe
purpose	don't find fault, find a remedy
purpose	dual emphasis on professional excellence and personal ethics that gives our graduate students the wisdom to succeed in both their professions and their lives
purpose	educates students to lead and influence
purpose	educating students to seek knowledge and affirm faith in order to change the world
purpose	embrace leadership in an increasingly complex, interdependent, and technological world; and to commit to active forms of social responsibility
purpose	emphasize the discovery and advancement of knowledge through research in the natural and social sciences, business and the humanities
purpose	empower supporters to fundraise on your behalf
purpose	empowers students through the liberal arts and professional studies for lives of learning, service, and leadership
purpose	encouraging and developing the study of the fine arts, and the application of arts to manufacture and practical life, of advancing the general knowledge of kindred subjects, and to that end of furnishing popular instruction
purpose	end the killing in americas animal shelters and create a time when there are no more homeless pets
purpose	engaging, informing, and inspiring people as they learn about this history, the events that occurred here, and the diverse people who helped shape America
purpose	enjoying every second of my life, follow along and see for yourself
purpose	enrich peoples lives through programs and services that educate, inspire, and entertain, fostering citizenship and culture, the joy of learning, and the power of diverse perspectives
purpose	ensure the future of elk, other wildlife, their habitat, and our hunting heritage
purpose	ensure the future of wild cats through scientific leadership and global conservation action
purpose	eradicate cancer and the enhancement of the quality of life of people living with cancer
purpose	establish Starbucks as the premier purveyor of the finest coffee in the world while maintaining our uncompromising principles while we grow
purpose	even after all these years, everyday i learn something new
purpose	even delta and united did it quicker
purpose	everything that i do is a result of my purpose in life
purpose	everything that i was doing, i was doing it to the best of my ability but get tired because i was not enjoying what i was doing
purpose	facilitate the development of, and ensure universal access to, noncommercial high-quality programming and telecommunications services
purpose	fighting the declining condition of our planet
purpose	fights for the survival and development of the worlds most vulnerable children and protects their basic human rights
purpose	find a career, find a partner, find something else to fill the void in my life
purpose	find a cure for cystic fibrosis and to improve the quality of life for people living with the disease
purpose	for a makeup look that will remain intact even when you put on your mask, we recommend our transfer-resistant
purpose	foster a steady stream of global citizens committed to living a contributive life
purpose	foster a vibrant culture of public service and encourages students to cross academic as well as geographic boundaries in their pursuit of knowledge
purpose	foster the work of living artists at critical moments in their careers through direct interaction with artists
